season_name,match_id,team,total_defensive_actions,defensive_line_height,defensive_third_pct,middle_third_pct,attacking_third_pct,defensive_style,Defensive Third,Middle Third,Attacking Third
2021/2022,3802643,Paris Saint-Germain,50.0,1.42,68.0,22.0,10.0,Low Block,34.0,11.0,5.0
2021/2022,3802643,Strasbourg,33.0,1.545,60.61,24.24,15.15,Low Block,20.0,8.0,5.0
2021/2022,3802665,Montpellier,37.0,1.514,62.16,24.32,13.51,Low Block,23.0,9.0,5.0
2021/2022,3802665,Paris Saint-Germain,30.0,1.533,66.67,13.33,20.0,Low Block,20.0,4.0,6.0
2021/2022,3802676,Lens,45.0,1.467,66.67,20.0,13.33,Low Block,30.0,9.0,6.0
2021/2022,3802676,Paris Saint-Germain,39.0,1.795,46.15,28.21,25.64,Balanced,18.0,11.0,10.0
2021/2022,3802683,AS Monaco,28.0,1.786,42.86,35.71,21.43,Balanced,12.0,10.0,6.0
2021/2022,3802683,Paris Saint-Germain,39.0,1.436,66.67,23.08,10.26,Low Block,26.0,9.0,4.0
2021/2022,3802685,Lens,43.0,1.512,62.79,23.26,13.95,Low Block,27.0,10.0,6.0
2021/2022,3802685,Paris Saint-Germain,45.0,1.378,68.89,24.44,6.67,Low Block,31.0,11.0,3.0
2021/2022,3802690,Lorient,67.0,1.224,82.09,13.43,4.48,Low Block,55.0,9.0,3.0
2021/2022,3802690,Paris Saint-Germain,38.0,1.5,63.16,23.68,13.16,Low Block,24.0,9.0,5.0
2021/2022,3802696,Paris Saint-Germain,39.0,1.59,56.41,28.21,15.38,Low Block,22.0,11.0,6.0
2021/2022,3802696,Stade de Reims,58.0,1.517,58.62,31.03,10.34,Low Block,34.0,18.0,6.0
2021/2022,3802699,Lille,32.0,1.25,78.12,18.75,3.12,Low Block,25.0,6.0,1.0
2021/2022,3802699,Paris Saint-Germain,35.0,1.457,65.71,22.86,11.43,Low Block,23.0,8.0,4.0
2021/2022,3802709,Paris Saint-Germain,35.0,1.229,82.86,11.43,5.71,Low Block,29.0,4.0,2.0
2021/2022,3802709,Saint-Étienne,48.0,1.354,77.08,10.42,12.5,Low Block,37.0,5.0,6.0
2021/2022,3802752,Lyon,43.0,1.372,72.09,18.6,9.3,Low Block,31.0,8.0,4.0
2021/2022,3802752,Paris Saint-Germain,42.0,1.524,64.29,19.05,16.67,Low Block,27.0,8.0,7.0
2021/2022,3802793,OGC Nice,75.0,1.213,81.33,16.0,2.67,Low Block,61.0,12.0,2.0
2021/2022,3802793,Paris Saint-Germain,35.0,1.629,48.57,40.0,11.43,Balanced,17.0,14.0,4.0
2021/2022,3802795,Paris Saint-Germain,38.0,1.5,60.53,28.95,10.53,Low Block,23.0,11.0,4.0
2021/2022,3802795,Rennes,51.0,1.412,68.63,21.57,9.8,Low Block,35.0,11.0,5.0
2021/2022,3802802,Paris Saint-Germain,33.0,1.727,45.45,36.36,18.18,Balanced,15.0,12.0,6.0
2021/2022,3802802,Stade de Reims,66.0,1.364,68.18,27.27,4.55,Low Block,45.0,18.0,3.0
2021/2022,3802805,OGC Nice,38.0,1.342,71.05,23.68,5.26,Low Block,27.0,9.0,2.0
2021/2022,3802805,Paris Saint-Germain,32.0,1.562,62.5,18.75,18.75,Low Block,20.0,6.0,6.0
2021/2022,3802809,Paris Saint-Germain,42.0,1.262,78.57,16.67,4.76,Low Block,33.0,7.0,2.0
2021/2022,3802809,Rennes,62.0,1.371,77.42,8.06,14.52,Low Block,48.0,5.0,9.0
2021/2022,3802818,Lorient,44.0,1.364,72.73,18.18,9.09,Low Block,32.0,8.0,4.0
2021/2022,3802818,Paris Saint-Germain,32.0,1.438,59.38,37.5,3.12,Low Block,19.0,12.0,1.0
2021/2022,3802837,Paris Saint-Germain,35.0,1.829,48.57,20.0,31.43,High Press,17.0,7.0,11.0
2021/2022,3802837,Saint-Étienne,52.0,1.135,88.46,9.62,1.92,Low Block,46.0,5.0,1.0
2021/2022,3802839,Nantes,46.0,1.326,78.26,10.87,10.87,Low Block,36.0,5.0,5.0
2021/2022,3802839,Paris Saint-Germain,27.0,1.259,77.78,18.52,3.7,Low Block,21.0,5.0,1.0
2021/2022,3802902,Marseille,44.0,1.727,50.0,27.27,22.73,Balanced,22.0,12.0,10.0
2021/2022,3802902,Paris Saint-Germain,41.0,1.463,63.41,26.83,9.76,Low Block,26.0,11.0,4.0
